Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
142,0,-3.46113,-45.4293,0.234948,244.238,967.715,-316.028,-9.97763,164.12,-15.3751,236.228,-19.5742,472.295
143,0,-3.55154,-43.8216,0.0798136,246.403,967.562,-311.713,-9.04037,160.771,-15.5134,216.536,-15.2528,431.508
144,0,-3.63093,-42.2654,-0.0689292,248.375,967.496,-307.81,-7.93909,155.617,-14.8743,197.153,-6.6638,390.309
145,0,-3.69768,-40.7743,-0.206762,250.148,967.546,-304.312,-6.67506,149.116,-13.7833,177.327,5.04255,349.784
146,0,-3.75222,-39.3582,-0.330528,251.722,967.739,-301.21,-5.45455,141.602,-12.3765,157.416,19.3,310.215
147,0,-3.79921,-38.0269,-0.441002,253.087,968.087,-298.482,-4.699,133.13,-11.0474,136.471,34.7733,272.751
148,0,-3.81244,-36.7768,-0.524968,254.263,968.595,-296.136,-1.32292,125.012,-8.39665,117.582,50.8487,234.637
149,0,-3.85548,-35.6031,-0.61572,255.214,969.263,-294.078,-4.30366,117.367,-9.07512,95.0873,66.7155,205.842
150,0,-3.89743,-34.5004,-0.698854,255.965,970.066,-292.31,-4.19476,110.27,-8.31347,75.1823,80.3292,176.74
151,0,-3.94393,-33.463,-0.775164,256.524,970.977,-290.788,-4.65012,103.744,-7.63093,55.8615,91.1117,152.224
152,0,-3.99851,-32.4788,-0.846393,256.906,971.958,-289.474,-5.45869,98.4172,-7.12295,38.144,98.1152,131.369
153,0,-3.98113,-31.5242,-0.801806,257.502,972.95,-288.516,1.7388,95.4632,4.45867,59.6374,99.1881,95.8383
154,0,-4.08183,-30.6153,-0.938547,257.355,973.926,-287.612,-10.0708,90.8866,-13.674,-14.7194,97.6324,90.3457
155,0,-4.19286,-29.7284,-0.960276,257.447,974.836,-286.595,-11.103,88.6972,-2.17291,9.1821,90.9746,101.745
156,0,-4.29185,-28.868,-1.04292,257.192,975.612,-285.834,-9.89861,86.032,-8.26454,-25.4542,77.5397,76.0824
157,0,-4.43837,-28.0083,-1.06739,257.067,976.225,-284.946,-14.6515,85.9755,-2.44683,-12.5378,61.3809,88.8348
158,0,-4.57735,-27.1628,-1.12411,256.734,976.627,-284.195,-13.8983,84.5478,-5.67199,-33.2385,40.1199,75.0959
159,0,-4.74154,-26.316,-1.10888,256.569,976.784,-283.325,-16.4195,84.6843,1.52341,-16.5284,15.6999,86.987
160,0,-4.9443,-25.496,-1.15628,256.196,976.688,-282.501,-20.2757,81.9985,-4.74081,-37.3036,-9.58443,82.3826
161,0,-5.14819,-24.6944,-1.12133,256.017,976.311,-281.565,-20.3888,80.1581,3.49582,-17.8635,-37.6701,93.5972
162,0,-5.37347,-23.9353,-1.11322,255.745,975.665,-280.627,-22.5277,75.9063,0.810957,-27.2691,-64.5697,93.8028
163,0,-5.61072,-23.2276,-1.05623,255.608,974.754,-279.588,-23.7255,70.7758,5.69816,-13.6763,-91.0819,103.959
164,0,-5.86858,-22.5928,-1.00742,255.45,973.608,-278.491,-25.7855,63.4806,4.88178,-15.7386,-114.62,109.702
165,0,-6.13819,-22.0364,-0.93175,255.385,972.255,-277.285,-26.9614,55.6411,7.56666,-6.59227,-135.362,120.55
166,0,-6.42523,-21.5933,-0.854126,255.337,970.732,-276.003,-28.7035,44.3039,7.76232,-4.71473,-152.212,128.213
167,0,-6.72003,-21.2707,-0.756664,255.367,969.083,-274.623,-29.4803,32.2617,9.7462,2.99215,-164.914,138.041
168,0,-7.02055,-21.0736,-0.665749,255.443,967.364,-273.158,-30.0525,19.7094,9.09159,7.61747,-171.93,146.407
169,0,-7.31509,-21.0137,-0.567142,255.601,965.619,-271.611,-29.4536,5.98939,9.8607,15.7207,-174.487,154.716
170,0,-7.60304,-21.0984,-0.476868,255.831,963.912,-269.988,-28.7951,-8.47029,9.02737,23.0402,-170.714,162.378
171,0,-7.87618,-21.3286,-0.391067,256.16,962.294,-268.285,-27.3144,-23.0148,8.58005,32.8749,-161.839,170.273
