Joints,,,,,,,,,,,,,
100,,,,,,,,,,,,,
,,Subject1:World_Root,,,,,,Subject1:LowerBack,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm
115,0,1.40845,-18.7608,-4.56,38.6516,980.582,209.649,26.9504,112.222,109.472,-51.6892,218.319,1153.06
116,0,1.39208,-18.6223,-4.33545,38.4557,980.619,210.683,27.4069,111.869,109.421,-50.8627,219.058,1153.16
117,0,1.37868,-18.3929,-4.05399,38.0229,982.301,211.743,27.6771,111.627,109.509,-49.6414,219.761,1154.91
118,0,1.37572,-18.1363,-3.72706,37.2778,985.417,212.875,27.7958,111.452,109.674,-47.9766,220.528,1158.1
119,0,1.36897,-17.8117,-3.39161,36.2479,989.764,214.023,27.7501,111.343,109.949,-46.0029,221.286,1162.52
120,0,1.38636,-17.3999,-3.04558,35.033,995.075,215.059,27.542,111.324,110.302,-43.8138,221.994,1167.9
121,0,1.44647,-16.9021,-2.69141,33.6241,1001.26,216.034,27.2185,111.374,110.698,-41.4054,222.764,1174.14
122,0,1.5301,-16.335,-2.35126,32.2649,1008.03,216.97,26.7828,111.509,111.138,-39.0836,223.588,1180.95
123,0,1.6444,-15.7343,-2.00702,30.8347,1015.04,217.673,26.2755,111.737,111.578,-36.6732,224.284,1188
124,0,1.77257,-15.064,-1.66597,29.3331,1022.3,218.419,25.6791,112.051,112.061,-34.1955,225.081,1195.28
125,0,1.89502,-14.3265,-1.31738,27.8479,1029.58,219.063,25.0059,112.468,112.605,-31.7061,225.773,1202.59
126,0,1.98116,-13.4821,-0.976746,26.4116,1036.55,219.77,24.1808,112.994,113.259,-29.2829,226.445,1209.59
127,0,2.05053,-12.6058,-0.629076,25.0224,1043.19,220.391,23.2933,113.645,113.95,-26.8784,227.002,1216.24
128,0,2.04809,-11.6615,-0.295279,23.4836,1049.11,220.965,22.2702,114.353,114.764,-24.3581,227.334,1222.18
129,0,2.00925,-10.6998,0.0276094,21.8286,1054.13,221.527,21.1321,115.146,115.617,-21.7471,227.583,1227.2
130,0,1.94694,-9.71192,0.350517,20.1116,1058.27,222.075,19.8838,116.014,116.521,-19.0677,227.78,1231.36
131,0,1.87864,-8.70291,0.660827,18.3611,1061.47,222.824,18.5287,116.911,117.459,-16.3872,228.199,1234.57
132,0,1.79473,-7.73381,0.976031,16.5498,1063.53,223.406,17.1127,117.817,118.416,-13.627,228.432,1236.62
133,0,1.71783,-6.76773,1.30352,14.7103,1064.58,224.078,15.621,118.717,119.405,-10.7984,228.805,1237.65
134,0,1.67071,-5.78127,1.63409,12.842,1064.7,224.673,14.0193,119.632,120.411,-7.929,229.223,1237.76
135,0,1.65402,-4.67614,1.99024,11.1236,1063.88,225.235,12.2952,120.581,121.489,-5.12948,229.741,1236.91
136,0,1.63228,-3.44485,2.35058,9.47489,1061.77,225.821,10.4219,121.522,122.653,-2.38516,230.324,1234.75
137,0,1.59973,-2.14013,2.72153,7.83547,1058.42,226.34,8.43551,122.461,123.829,0.3815,230.863,1231.35
138,0,1.54643,-0.824983,3.12247,6.3459,1053.88,226.747,6.42164,123.378,124.995,3.08616,231.278,1226.75
139,0,1.46375,0.44777,3.53709,4.97598,1048.11,227.149,4.40782,124.265,126.118,5.70784,231.647,1220.9
140,0,1.35147,1.69546,3.96415,3.67724,1041.41,227.238,2.3746,125.175,127.157,8.28977,231.667,1214.12
141,0,1.19953,2.82629,4.3551,2.40227,1033.85,227.328,0.359922,126.079,128.085,10.7326,231.591,1206.48
142,0,0.969056,3.82885,4.73928,1.1055,1025.7,227.452,-1.60977,126.944,128.931,13.171,231.326,1198.26
143,0,0.646329,4.55083,5.09524,-0.413866,1017.39,227.862,-3.43503,127.745,129.61,15.7458,231.029,1189.87
144,0,0.28421,5.00807,5.41109,-1.88216,1009.09,228.262,-5.09355,128.555,130.101,18.1509,230.543,1181.49
